barcode_no,species,county,town,gridref_original,gridref_1km,gridref_10km,flag,latitude_decimal,longitude_decimal,error_radius,date
10884038,Vespa crabro,Suffolk,Little Cornard,NA,NA,NA,NA,52.0179,0.7687,0.9,1921-09-01
10884037,Vespa crabro,Suffolk,Little Cornard,NA,NA,NA,NA,52.0179,0.7687,0.9,1921-09-01
10884036,Vespa crabro,Suffolk,Little Cornard,NA,NA,NA,NA,52.0179,0.7687,0.9,1921-09-01
10883621,Vespula vulgaris,Surrey,Camberley,NA,NA,NA,NA,51.3354,-0.7429,2.6,1921-07-19
10883620,Vespula vulgaris,Surrey,Camberley,NA,NA,NA,NA,51.3354,-0.7429,2.6,1921-07-19
10883619,Vespula vulgaris,Surrey,Camberley,NA,NA,NA,NA,51.3354,-0.7429,2.6,1921-07-19
10883618,Vespula vulgaris,Surrey,Camberley,NA,NA,NA,NA,51.3354,-0.7429,2.6,1921-07-19
10883617,Vespula vulgaris,Surrey,Camberley,NA,NA,NA,NA,51.3354,-0.7429,2.6,1921-07-19
10883616,Vespula vulgaris,Surrey,Camberley,NA,NA,NA,NA,51.3354,-0.7429,2.6,1921-07-19
10883615,Vespula vulgaris,Surrey,Camberley,NA,NA,NA,NA,51.3354,-0.7429,2.6,1921-07-19
10883614,Vespula vulgaris,Surrey,Camberley,NA,NA,NA,NA,51.3354,-0.7429,2.6,1921-07-19
10883613,Vespula vulgaris,Surrey,Camberley,NA,NA,NA,NA,51.3354,-0.7429,2.6,1921-07-19
10883612,Vespula vulgaris,Surrey,Camberley,NA,NA,NA,NA,51.3354,-0.7429,2.6,1921-07-19
10883542,Vespula vulgaris,Cumbria,Grange-over-Sands,NA,NA,NA,NA,54.191,-2.9107,2.2,1921-10-08
10883540,Vespula vulgaris,Cumbria,Grange-over-Sands,NA,NA,NA,NA,54.191,-2.9107,2.2,1921-07-24
10883539,Vespula vulgaris,Cumbria,Grange-over-Sands,NA,NA,NA,NA,54.191,-2.9107,2.2,1921-10-29
10883538,Vespula vulgaris,Cumbria,Grange-over-Sands,NA,NA,NA,NA,54.191,-2.9107,2.2,1921-07-24
10883138,Vespula vulgaris,W. Yorkshire,Roundhay,NA,NA,NA,NA,53.83100128,-1.496999979,0.89999997,1921-03-25
10883108,Vespula vulgaris,Cumbria,Meathop Moss,NA,NA,NA,NA,54.227,-2.8576,0.8,1921-05-16
10883007,Vespula vulgaris,Cumbria,Grange-over-Sands,NA,NA,NA,NA,54.191,-2.9107,2.2,1921-10-28
10883006,Vespula vulgaris,Cumbria,Grange-over-Sands,NA,NA,NA,NA,54.191,-2.9107,2.2,1921-10-29
10883004,Vespula vulgaris,Cumbria,Grange-over-Sands,NA,NA,NA,NA,54.191,-2.9107,2.2,1921-10-29
10883002,Vespula vulgaris,Cumbria,Grange-over-Sands,NA,NA,NA,NA,54.191,-2.9107,2.2,1921-10-09
10883001,Vespula vulgaris,Cumbria,Grange-over-Sands,NA,NA,NA,NA,54.191,-2.9107,2.2,1921-10-28
10882999,Vespula vulgaris,Cumbria,Grange-over-Sands,NA,NA,NA,NA,54.191,-2.9107,2.2,1921-10-28
10882905,Vespula germanica,Surrey,Bookham,NA,NA,NA,NA,51.2784,-0.3734,2,1921-10-02
10882889,Vespula germanica,Surrey,Bookham,NA,NA,NA,NA,51.2784,-0.3734,2,1921-10-02
10882877,Vespula germanica,Surrey,Black Pond,NA,NA,NA,NA,51.348,-0.3816,0.2,1921-06-26
10882876,Vespula germanica,Surrey,Black Pond,NA,NA,NA,NA,51.348,-0.3816,0.2,1921-06-26
10882870,Vespula germanica,Surrey,Black Pond,NA,NA,NA,NA,51.348,-0.3816,0.2,1921-06-26
10882843,Vespula germanica,London,Wimbledon,NA,NA,NA,NA,51.4183,-0.2206,2.6,1921-05-04
10882772,Vespula germanica,Lancashire,Morecambe,NA,NA,NA,NA,54.07419968,-2.86500001,5,1921-09-18
10882675,Vespula germanica,Somerset,Weston-super-Mare,NA,NA,NA,NA,51.357666,-2.973502,1.2,1921-09-16
10882674,Vespula germanica,Somerset,Weston-super-Mare,NA,NA,NA,NA,51.3474,-2.9773,6,1921-08-21
10882673,Vespula germanica,Somerset,Weston-super-Mare,NA,NA,NA,NA,51.357666,-2.973502,1.2,1921-09-16
10882658,Vespula germanica,Glos.,Woodchester,NA,NA,NA,NA,51.7241,-2.2323,0.7,1921-08-01
10882657,Vespula germanica,Glos.,Woodchester,NA,NA,NA,NA,51.7241,-2.2323,0.7,1921-08-01
10882655,Vespula germanica,Surrey,Camberley,NA,NA,NA,NA,51.3354,-0.7429,2.6,1921-10-15
10882576,Vespula germanica,Oxon,Oxford,NA,NA,NA,NA,51.761348,-1.255119,0.9,1921-09-01
10881541,Vespula germanica,Glos.,Rodborough,NA,NA,NA,NA,51.7391,-2.2342,0.4,1921-10-30
10881466,Vespula germanica,Somerset,Portishead,NA,NA,NA,NA,51.4852,-2.7679,4.8,1921-09-24
10881461,Vespula germanica,Somerset,Portishead,NA,NA,NA,NA,51.4852,-2.7679,4.8,1921-09-14
10881460,Vespula germanica,Somerset,Portishead,NA,NA,NA,NA,51.4852,-2.7679,4.8,1921-09-24
10884449,Vespula vulgaris,Cumbria,Grange-over-Sands,NA,NA,NA,NA,54.191,-2.9107,2.2,1922-08-13
10884107,Vespa crabro,Oxon,Headington,NA,NA,NA,NA,51.7626,-1.1986,3.5,1922-10-02
10883942,Vespula vulgaris,S. Yorkshire,Sheffield,NA,NA,NA,NA,53.3811,-1.4701,7,1922-09-17
10883550,Vespula vulgaris,Cumbria,Grange-over-Sands,NA,NA,NA,NA,54.191,-2.9107,2.2,1922-08-20
10883296,Vespula vulgaris,W. Yorkshire,Roundhay,NA,NA,NA,NA,53.83100128,-1.496999979,0.89999997,1922-05-31
10883005,Vespula vulgaris,Cumbria,Grange-over-Sands,NA,NA,NA,NA,54.191,-2.9107,2.2,1922-09-29
10882792,Vespula germanica,Notts.,NA,NA,NA,NA,OC,53.13,-1.0098,46.6,1922-02-02
